U\ nPatterns: 54 nProjects: 173
'\\\\(.)'	12,82,89,220,225,251,287,302,305,323,355,386,407,412,422,436,510,557,559,602,759,774,814,849,852,866,878,925,927,936,961,995,1003,1004,1012,1025,1054,1068,1074,1075,1078,1086,1087,1104,1150,1158,1181,1184,1211,1221,1223,1269,1301,1322,1326,1328,1420,1439,1469,1470,1495,1498,1505,1509,1511,1517,1520,1536,1555,1580,1634
'([\\\\"]|[^\\ -~])'	55,113,147,181,233,247,251,287,288,302,323,340,355,383,422,436,507,510,580,594,602,622,627,729,752,759,780,849,852,866,878,919,927,935,961,989,1003,1004,1007,1012,1015,1025,1032,1033,1054,1078,1086,1087,1122,1158,1184,1194,1199,1221,1247,1269,1328,1469,1495,1498,1501,1509,1511,1517,1580,1634
'[\\\\].'	12,287,412,602,619,759,852,869,961,1054,1087,1221,1292,1415,1439,1469,1509,1511,1580
'\\\\'	0,119,139,206,232,241,785,874,973,1007,1015,1032,1184,1248,1249,1256,1488,1635
'\\s*\\\\\\s*(#.*)?$'	287,487,498,602,662,1033,1087,1257,1263,1415,1469,1509,1536,1580,1594,1634
'[/\\\\]'	294,322,467,503,505,534,656,712,906,1004,1216,1262,1404,1466
'\\s*\\\\'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1555,1580
'[][\\\\()"]'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'[/\\\\ ]'	113,147,181,251,498,1087,1267,1555
'(["\\\\`])'	306,322,467,505,534,896,1007,1466
'\\\\\\\\'	9,148,241,874,990,1087,1249
'(?<!\\\\)(\\\\\\\\)*::$'	147,162,181,251,619,1087,1267
'[\\\\/]'	241,813,874,927,1249,1269
'([\\"\\\\])'	225,287,510,602,774,1509
'(.*)[\\\\/](.*?)$'	412,759,852,961,1221,1511
'\\\\\\n|\\\\(\\\\|<%)'	992,1104,1257,1386,1469,1536
'(\\\\\\\\)|(\\$\\$)|\\$\\{([^}]+)\\}'	322,467,505,534,1466
'\\\\$'	433,927,1003,1202
'[()\\\\]'	642,776,971,1203
'\\\\(\\d+)'	36,55,96,1267
'([\\\\()\\r\\n])'	642,776,971,1203
"\\\\'"	9,148,1087
'.*\\\\'	1007,1015,1032
'"|\\\\'	91,1179,1594
'[%\\\\]'	1007,1015,1032
'[./\\\\]'	422,747,1517
'\\.|\\\\'	1183,1506,1510
'\\\\(?! )'	602,747,1580
'(\\\\+)\\Z'	557,1223,1420
'([\\s\\\\])'	1007,1015,1032
'\\\\(?!\\s$)'	119,225,976
'(?:\\s*|((?:\\\\\\\\)+))\\\\\\n\\s*'	1007,1015,1032
'\\\\`'	9,148
'\\\\-'	9,148
'\\\\"'	9,148
'[\\\\]'	241,1249
'\\\\\\.'	9,148
'[\\\\"]'	103,130
'^.*\\\\'	1193,1552
'\\\\\\$'	518,787
'(\\\\|")'	241,1249
"([\\\\'])"	1517,1634
'([\\\\"])'	782,1007
'[\'"\\\\]'	1248,1488
'[\\\\/\\*]'	1269,1498
'\\\\[\\s.-]'	1269,1498
'\\\\[^ntrab]'	52,597
'\\\\(.*?) (.*)'	1248,1488
'(?<!{)(\\\\)(?![{}]})'	147,181
'(\\s*)(\\\\.+?)(\\s+)$'	1087,1555
'\\\\([.(){}[\\]"\\\\])'	440,542
'\\\\\\?([^\\.]+)\\.(.*)'	1248,1488
'"(\\\\\\\\|\\\\"|[^"])*"'	251,1087
'(.*?)([\\\\\\{\\}\\[\\]])(.*)'	305,1505
