Ua nPatterns: 15 nProjects: 200
'^\\d+$'	43,115,122,153,190,283,302,323,332,339,355,356,391,407,422,518,538,560,566,670,682,689,727,735,787,832,849,850,851,866,872,878,884,892,990,1000,1004,1012,1015,1032,1054,1068,1086,1087,1092,1143,1158,1184,1247,1263,1269,1287,1288,1495,1517,1561,1569,1576,1580,1594,1634
'^\\s*$'	12,18,31,182,200,241,287,296,322,339,407,412,433,467,498,505,534,557,602,633,692,738,747,759,819,852,927,958,961,1003,1025,1054,1087,1088,1199,1202,1221,1223,1235,1249,1300,1348,1412,1420,1466,1509,1511,1580
' *$'	12,82,89,287,302,323,355,412,422,602,662,747,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'(?m)^\\s*?$'	12,82,89,287,302,323,355,412,422,602,662,759,774,787,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'(?m)^[ ]*(?=\n)'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'^\\w+$'	9,12,24,25,82,89,147,174,181,243,287,302,422,430,477,481,560,602,672,835,849,878,975,990,1004,1012,1054,1074,1075,1086,1087,1158,1196,1247,1495,1509,1555,1580,1644
'^\\w+://'	220,305,323,355,436,510,559,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1439,1469,1495,1498,1505,1536,1555
'^[0-9]+$'	0,12,75,153,412,537,560,562,607,679,759,785,826,852,961,1004,1087,1199,1221,1223,1300,1317,1420,1432,1495,1501,1511
'^\\s+'	0,52,75,110,119,305,317,407,526,554,597,779,785,842,1015,1025,1032,1046,1054,1301,1322,1326,1379,1407,1505,1642
'^[ -~]{0,200}[!-~]$'	12,287,412,602,759,852,927,961,992,1003,1054,1087,1104,1221,1257,1269,1386,1415,1469,1498,1509,1511,1536,1580
'(\\s*){\\s*$'	412,533,587,618,759,793,818,852,896,961,1007,1015,1032,1080,1172,1221,1266,1296,1428,1464,1493,1511,1580
'(\\s*)}\\s*$'	412,533,587,618,759,793,818,852,896,961,1007,1015,1032,1080,1172,1221,1266,1296,1428,1464,1493,1511,1580
'\\d+$'	21,55,278,296,322,432,467,505,534,819,1007,1015,1032,1054,1087,1248,1366,1397,1466,1569,1580,1618
'^\\s*(\\w+)\\s*'	302,323,355,391,422,682,849,866,872,878,884,1012,1054,1086,1087,1158,1263,1495,1517,1580,1594,1634
'^\\[\\s*(\\w+)\\s*\\]\\s*'	302,323,355,391,422,682,849,866,872,878,884,1012,1054,1086,1087,1158,1263,1495,1517,1580,1594,1634
