Uap nPatterns: 30 nProjects: 150
'(?m)^(?!$)'	12,82,89,287,302,323,355,412,422,518,602,662,759,774,787,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1248,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'^[ ]*(#.*)?$'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'^\\w+://'	220,305,323,355,436,510,559,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1439,1469,1495,1498,1505,1536,1555
'(\\s*){\\s*$'	412,533,587,618,759,793,818,852,896,961,1007,1015,1032,1080,1172,1221,1266,1296,1428,1464,1493,1511,1580
'(\\s*)}\\s*$'	412,533,587,618,759,793,818,852,896,961,1007,1015,1032,1080,1172,1221,1266,1296,1428,1464,1493,1511,1580
'^(?:<<)$'	12,42,82,89,139,140,148,287,580,602,729,1004,1074,1075,1210,1235,1248,1328,1444,1495,1509
'^(?:!|&|\\*)$'	12,42,82,89,139,140,148,287,580,602,729,1004,1074,1075,1210,1235,1248,1328,1444,1495,1509
'^[^(]*'	283,332,339,356,436,518,538,670,689,747,787,832,975,1000,1247,1288,1495
'^(.*)@(.*)$'	12,287,412,602,759,852,961,1054,1087,1221,1263,1290,1495,1509,1511,1580,1594
'\\s*#?\\s*$'	12,147,162,181,287,381,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'^--'	416,496,592,595,721,852,896,994,1007,1301,1403,1511,1560,1598
'^([^/:]+):'	12,287,412,602,759,852,961,1054,1087,1221,1495,1509,1511,1580
'^(.*):(.*)$'	12,287,412,602,759,852,961,1054,1087,1221,1495,1509,1511,1580
'^\\s*#'	200,241,287,433,570,580,602,927,1003,1202,1249,1348,1509
'^(\\s*#*)'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'(?m)^\\.'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'"$'	826,849,878,1012,1086,1158,1267,1363,1495,1580,1634
'^/'	113,433,460,927,1003,1021,1025,1202,1468
'^<>$'	12,412,759,852,961,1054,1087,1221,1511
'^\\-l'	306,322,467,505,534,1007,1466
'^\\s*\\*?\\s*$'	322,467,505,534,1466
'^[.-]'	1263,1290,1580,1594
'^  --'	503,656,906,1404
'^_|_$'	305,1025,1138,1505
'^_+'	1415,1469,1580
'^\\/\\w\\/'	1007,1015,1032
'^[#/;]'	386,1181
'[ -~]*$'	332,689
'^[ -~]*$'	623,1181
'^(?P<mark>\\s*)\\^$'	1025,1322
