Uas nPatterns: 26 nProjects: 155
'^\\s*$'	12,18,31,182,200,241,287,296,322,339,407,412,433,467,498,505,534,557,602,633,692,738,747,759,819,852,927,958,961,1003,1025,1054,1087,1088,1199,1202,1221,1223,1235,1249,1300,1348,1412,1420,1466,1509,1511,1580
' *$'	12,82,89,287,302,323,355,412,422,602,662,747,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'(?m)^\\s*?$'	12,82,89,287,302,323,355,412,422,602,662,759,774,787,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'(?m)^[ ]*(?=\n)'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'^\\s+'	0,52,75,110,119,305,317,407,526,554,597,779,785,842,1015,1025,1032,1046,1054,1301,1322,1326,1379,1407,1505,1642
'^\\s*'	12,190,412,556,558,759,852,961,1045,1087,1221,1248,1326,1377,1511
'^(\\s*)'	12,287,407,412,602,759,852,961,1050,1054,1087,1221,1509,1511,1580
'^\\s*\\n'	12,236,247,287,552,602,606,919,1007,1054,1087,1223,1395,1420,1509
' +$'	306,322,356,464,467,505,531,534,654,832,846,1007,1404,1466
'\\s+$'	182,262,267,268,526,726,813,927,1046,1243,1630,1632,1639,1642
'^\\s+$'	18,73,305,407,531,826,832,846,919,1007,1025,1322,1326,1505
'^[ \\t]*'	12,31,52,188,412,597,759,852,961,1050,1054,1087,1221,1511
'^[ \t]*$'	12,54,111,132,412,759,852,961,1030,1054,1087,1089,1221,1511
'^([ \\t]*)'	12,55,200,287,433,602,927,1003,1054,1087,1202,1509,1580
'\\n$'	305,492,1025,1179,1322,1326,1364,1502,1505
'^[ ]{4,}(?P<value>.*)'	236,247,919,1007,1340,1395
'(?m)^  '	552,606,1223,1247,1420
'^(\\s*)(.*)'	422,602,747,1517,1580
'^[\r\n]*(\\s*)'	143,188,213,1094,1583
'(\\s*)$'	422,602,747,1094
'^(?P<chunk>[^\\r\\n]+)|(?P<newline>\\n|\\r\\n?)'	381,1054,1087
'^\n'	23,1363
'^\\s'	14,1326
'\\n+$'	1179,1406
'[,\\s]+'	758,1580
'^\\s*\n+\\s*\n+\\s*$'	558,1326
