Uav nPatterns: 26 nProjects: 147
'^\\d+$'	43,115,122,153,190,283,302,323,332,339,355,356,391,407,422,518,538,560,566,670,682,689,727,735,787,832,849,850,851,866,872,878,884,892,990,1000,1004,1012,1015,1032,1054,1068,1086,1087,1092,1143,1158,1184,1247,1263,1269,1287,1288,1495,1517,1561,1569,1576,1580,1594,1634
'^\\w+$'	9,12,24,25,82,89,147,174,181,243,287,302,422,430,477,481,560,602,672,835,849,878,975,990,1004,1012,1054,1074,1075,1086,1087,1158,1196,1247,1495,1509,1555,1580,1644
'^[0-9]+$'	0,12,75,153,412,537,560,562,607,679,759,785,826,852,961,1004,1087,1199,1221,1223,1300,1317,1420,1432,1495,1501,1511
'^[_a-zA-Z]'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'^[_a-zA-Z]\\w*$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'^[-\\w]+$'	82,89,302,323,355,422,849,866,878,1004,1074,1075,1495,1517,1634
'\\w+$'	52,188,422,597,602,747,757,782,1184,1248,1517,1580
'^/[-\\w/]+$'	13,24,25,26,28,35,72,147,181,472
'^[a-zA-Z0-9_-]+$'	225,256,689,757,783,1007,1015,1032,1143,1328
'^[a-zA-Z_]\\w*'	322,467,505,534,712,1216,1466
'(\\w+)$'	82,89,1004,1074,1075
'^[a-z]+$'	18,614,947,996,1491
'^(\\w+)'	122,947,1015,1032
'^\\w+:'	1007,1015,1032
'^\\S'	171,1381
'^.+$'	820,1247
'^\\w'	1339,1418
'^[^:]+'	1269,1498
'^.*\\/'	1248,1488
'(\\S+)$'	1248,1488
'^(\\w*)'	109,182
'^(\\S+):?'	996,1491
'^[A-Z_]*$'	640,662
'^[^A-Za-z_]$'	332,689
'^[0-9A-Za-z-_. ]+$'	1223,1420
'(^|\\\\n)([^\\\\]*)$'	1248,1488
