Ub nPatterns: 64 nProjects: 245
'<([^>]*)>: \\[0x([0-9a-f]+)-0x([0-9a-f]+)\\]'	271,279,280,282,318,346,367,406,442,495,569,586,590,601,652,667,751,762,791,799,848,855,876,937,952,1018,1041,1098,1103,1105,1106,1116,1131,1167,1206,1236,1237,1306,1333,1334,1356,1360,1370,1390,1440,1467,1514,1556,1562,1581,1599,1610,1622,1624,1626,1627,1643
'(<[^<>]*)/>'	22,38,55,60,64,65,72,94,126,225,273,287,340,472,510,527,602,683,691,707,774,790,881,928,1068,1122,1150,1169,1199,1269,1300,1469,1498,1509,1557
'<!\\s+([^<>]*)>'	22,38,55,60,64,65,72,94,126,225,273,287,340,472,510,527,602,683,691,707,774,790,881,928,1068,1122,1150,1169,1199,1269,1300,1469,1498,1509,1557
'<.*?>'	34,110,126,147,163,181,220,345,383,391,485,519,539,557,872,887,927,977,1003,1050,1074,1087,1097,1113,1181,1223,1420,1488
'\\(.*?\\)'	82,89,302,323,355,422,849,866,878,879,1004,1012,1074,1075,1086,1158,1184,1495,1517,1580,1634
'_\\(((?:".*?")|(?:\'.*?\'))\\)'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1580,1634
'\\[(.*?)\\]'	251,422,662,800,1033,1104,1188,1257,1263,1290,1310,1386,1415,1517,1522,1536,1580,1594,1634
'"([^"]+)"'	12,287,381,412,602,759,812,852,961,1054,1087,1221,1509,1511,1555,1580
'``([^`\\s]+?)``'	95,131,274,302,334,573,849,878,951,1004,1012,1086,1158,1176,1495,1525
'(?:W/)?"((?:\\\\.|[^"])*)"'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
"^'([^']+)'(\\|.*$)"	302,323,355,422,849,866,878,1004,1012,1086,1158,1495,1517,1580,1634
'%\\(([^)]+)\\)s'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511
'%\\(([^)]*)\\)s|.'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511
'"(?:[^"\\\\]|\\\\.)*"'	12,287,356,412,602,759,852,961,1054,1087,1221,1509,1511
"'(?:[^'\\\\]|\\\\.)*'"	12,287,356,412,602,759,852,961,1054,1087,1221,1509,1511
'\\[(?P<header>[^]]+)\\]'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511
'.*"([^"]+)"$'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'_\\((.*?)\\)(?s)'	251,252,1087,1104,1257,1386,1415,1469,1495,1536,1555,1580
'^\\[\\[\\[\\s*(.*?)\\s*\\]\\]\\]\\s*(\\S+)$'	589,612,938,1056,1116,1124,1305,1388,1447,1451,1471,1480
'\\[(?P<type>[A-Z-]+)( (?P<data>[^\\]]*))?\\]'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'".*"$'	306,322,464,467,505,534,1007,1015,1032,1404,1466
'^([^\\[\\]]+)(\\[.*\\])?$'	0,75,119,768,785,825,1007,1015,1032,1054,1301
'\\((.*?)\\)'	147,181,278,296,320,432,819,1147,1366,1557
'\\[([^]]+)\\]'	306,322,464,467,505,534,782,1300,1404,1466
"'(\\\\.[^\\\\]*|[^\\\\])'"	12,412,759,852,961,1054,1087,1221,1511,1580
"'.'"	322,416,467,505,534,1199,1300,1404,1466
"'.*'$"	306,322,464,467,505,534,1007,1404,1466
'/.+/$'	306,322,464,467,505,534,1007,1404,1466
'"[^"]*"'	322,416,467,505,534,1199,1300,1404,1466
'\\(.*\\)'	757,1007,1015,1032,1087,1415,1580
'\\(([^)]+)\\)'	82,89,806,1004,1074,1075,1495
'^//(\\s*)TODO(\\(.+?\\))?:?(\\s|$)?'	322,416,467,505,534,1404,1466
'^\\[.*\\]$'	552,606,705,743,800,1469
'^\\s*\\((.*)\\)\\s*$'	12,287,602,1054,1087,1509
