Uo nPatterns: 33 nProjects: 46
'x'	12,302,412,425,744,759,774,849,852,878,961,1004,1012,1086,1087,1158,1221,1328,1495,1511,1580
'a'	12,412,759,852,873,961,1087,1158,1221,1302,1511,1580,1592
'(a)'	12,412,759,852,961,1087,1221,1511
'(a|(b))'	12,412,759,852,961,1087,1221,1511
'[\\-\\s]'	302,849,878,1012,1086,1158,1495,1634
'(((((((((((x)))))))))))'	12,412,759,852,961,1087,1221,1511
'(?:(?P<a1>a)|(?P<b2>b))(?P<c3>c)?'	12,412,759,852,961,1087,1221,1511
'a\\s'	12,412,759,852,1087,1221,1511
'\\s(b)'	12,412,759,852,1087,1221,1511
'(a)|(b)'	12,412,759,852,1087,1221,1511
'(a)(b)?b'	12,412,759,852,1087,1221,1511
'(?P<a>a(b))'	12,412,759,852,1087,1221,1511
'(?P<a>a)(?P<b>b)?b'	12,412,759,852,1087,1221,1511
'((a))'	12,412,759,852,1221,1511
'o'	873,1580,1592
'[eE]'	518,787,1280
'^[67]'	241,874,1249
'^[ab]$'	873,1580,1592
'B'	109,182
'e'	101,1633
's'	1248,1557
'r'	341,1068
'[@]'	241,1249
'[mM]'	1317,1501
'[kK]'	1317,1501
'[gG]'	1317,1501
'(H|S)'	109,182
'^(X|A)$'	109,182
'[aeiou]'	1248,1488
'[aeiouy]'	866,1184
'[infINF]'	752,1194
'[aeiouy].'	866,1184
'([aeiouy])y'	866,1184
