Ur nPatterns: 26 nProjects: 77
'(\\++|\\-+|\\^+)'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'\\-+'	538,642,747,776,971,975,1000,1203,1288,1495,1621
'.+'	220,454,666,707,927,1003,1247,1580
'x+'	12,412,759,852,961,1087,1221,1511
'x*'	12,412,759,852,961,1087,1221,1511
'b+'	12,412,759,852,961,1087,1221,1511
'b*'	12,412,759,852,961,1087,1221,1511
'a+'	12,412,759,852,961,1087,1221,1511
'a*'	12,412,759,852,961,1087,1221,1511
':+'	12,412,759,852,961,1087,1221,1511
':*'	12,412,759,852,961,1087,1221,1511
'\\*'	232,339,1076,1094,1248,1488,1522,1540
'(:)*'	12,412,759,852,961,1087,1221,1511
'\\.+'	82,89,251,374,972,1004,1075,1087
'(\\\\*)([,;]+)'	306,322,467,505,534,896,1007,1466
'(\\\\+)"'	306,322,467,505,534,1007,1466
'^[sgydpn]+$'	322,467,505,534,712,1216,1466
'/+'	107,989,1225,1638
';;+'	568,807,1144,1247
'(x*)'	287,602,1509,1580
'_+'	502,721,923
'\\+'	232,682,1076
'//+'	588,1050,1242
'^a+$'	873,1580,1592
'^0+$'	1146,1426
'[/]+'	447,877
