Us nPatterns: 77 nProjects: 376
'\\s+'	13,18,31,43,52,55,93,109,144,147,153,162,181,182,201,220,225,232,241,251,283,287,290,296,302,305,313,317,322,323,324,329,339,345,347,355,360,383,386,391,400,405,413,420,421,422,454,456,467,476,477,503,505,510,534,538,548,550,557,560,562,568,583,597,599,602,633,640,656,662,666,678,705,707,721,726,732,747,757,768,771,774,779,796,807,813,819,824,825,849,861,866,872,873,874,878,879,906,913,927,939,947,960,975,996,998,1001,1003,1004,1007,1008,1010,1012,1014,1025,1028,1039,1052,1086,1087,1116,1144,1158,1162,1179,1181,1199,1205,1216,1223,1227,1243,1247,1248,1249,1258,1267,1269,1288,1300,1302,1317,1322,1344,1383,1404,1407,1420,1432,1451,1453,1459,1463,1466,1469,1471,1480,1481,1488,1491,1495,1498,1501,1505,1506,1509,1510,1513,1517,1520,1531,1533,1535,1538,1553,1580,1592,1594,1600,1634,1637,1638
'\\s'	86,88,113,126,135,147,173,181,221,225,232,251,302,306,312,317,320,323,332,355,356,383,384,407,416,422,467,498,503,505,514,534,560,562,592,669,689,712,757,775,830,849,852,866,878,896,906,994,1004,1007,1012,1086,1087,1158,1184,1223,1248,1267,1301,1315,1331,1338,1348,1386,1403,1404,1420,1426,1466,1478,1488,1495,1511,1517,1555,1560,1565,1580,1598,1634,1644
'(\\s+)'	12,82,89,96,129,251,252,287,302,323,355,381,412,422,487,560,602,639,759,849,852,866,878,961,1004,1012,1054,1074,1075,1086,1087,1104,1158,1184,1221,1257,1386,1415,1469,1495,1509,1511,1517,1536,1555,1580,1634,1636
'\\S'	9,82,89,148,153,302,323,355,422,433,531,826,849,866,878,927,1003,1004,1007,1012,1015,1032,1074,1075,1086,1158,1184,1202,1248,1386,1438,1488,1495,1517,1580,1634,1636
'(\r\n|\r|\n)'	12,173,218,251,252,287,305,309,369,412,487,602,639,702,759,852,961,1054,1087,1104,1221,1247,1257,1386,1415,1469,1495,1505,1509,1511,1536,1555,1580
'\r?\n'	12,113,190,287,412,433,537,602,700,759,852,927,961,1003,1054,1087,1120,1159,1202,1221,1240,1258,1269,1274,1415,1426,1469,1498,1509,1511,1544,1580
'\n{2,}'	55,82,89,113,147,181,200,302,323,355,422,552,606,849,866,878,992,1004,1012,1074,1075,1086,1158,1184,1223,1247,1322,1420,1495,1517,1580,1634
'\\r\\n|\\r|\\n'	12,82,89,114,287,302,323,355,412,422,602,759,849,852,866,878,961,1004,1012,1054,1074,1075,1086,1087,1184,1221,1495,1509,1511,1517,1580,1634
'\\s*'	119,182,206,241,416,422,592,747,852,896,994,1007,1015,1025,1032,1184,1185,1215,1248,1249,1301,1403,1423,1488,1511,1517,1560,1580,1598,1644
'(?:\\r\\n)?[ \\t]+'	220,323,355,436,510,559,728,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1416,1439,1469,1495,1498,1536,1555
'\\r\\n'	12,31,37,113,147,181,287,313,356,412,430,531,602,672,757,759,852,961,1054,1087,1221,1267,1509,1511,1580
'\r(?!\n)|(?<!\r)\n'	220,323,355,436,510,559,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1439,1469,1495,1498,1536,1555
'\\r'	12,110,227,287,339,412,560,602,759,852,961,1054,1087,1221,1248,1488,1509,1511
'\\t'	232,322,467,505,534,560,602,757,972,1054,1243,1248,1466,1488,1630,1632,1639
'^ +'	162,225,251,306,322,464,467,477,505,534,619,1007,1087,1267,1404,1466
'^-r\\s*([^ ])?'	251,422,662,800,1033,1104,1188,1257,1263,1290,1386,1415,1517,1536,1594,1634
'[ \\t\\n][ \\t\\n]+'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'(\\.|\\s)'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'\n+'	169,179,472,560,1007,1015,1032,1248,1269,1317,1401,1469,1498,1501
'[\\s.]'	302,323,355,422,849,866,878,1004,1012,1086,1158,1495,1517,1634
'\\s{2,}'	109,113,127,147,181,182,305,407,682,1025,1322,1326,1505,1529
'[\\r\\n]+'	43,109,182,503,656,826,906,1007,1015,1032,1258,1302,1404,1561
'([ \\t]*)'	150,304,640,662,842,851,945,1025,1054,1147,1199,1322,1505,1561
',\\s*|\\s+'	12,287,412,602,759,852,961,1054,1087,1221,1475,1509,1511,1580
' *'	222,297,308,322,389,467,505,534,743,1071,1216,1466,1486
'^ *\n'	12,287,412,531,602,759,852,961,1054,1087,1221,1509,1511
'(\\r\\n)|\\n|\\r'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'\\s\\s+'	283,533,675,757,851,1001,1087,1107,1269,1302,1561,1576
'\\r(?!\\n)'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'(?:\\r\\n|\\n|\\r(?!\\n))'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'  +'	241,1007,1015,1032,1050,1152,1218,1301,1350,1426,1460
'\\s+\\n+'	306,322,464,467,505,534,1007,1300,1404,1466
'[\\n\\r]'	305,445,1025,1225,1322,1326,1505,1630,1632,1639
'\\n\\s+\\n'	236,247,552,606,919,1007,1223,1247,1395,1420
'(\r\n|\r|\n)$'	12,287,412,602,759,852,961,1221,1509,1511
'(?:\\r\\n|\\r|\\n){2,}'	585,992,1104,1257,1349,1386,1415,1469,1536,1580
' {2,}'	162,210,251,253,305,619,1087,1267,1505
'[ \\t]+'	55,261,305,908,1505,1630,1632,1638,1639
