Uv nPatterns: 111 nProjects: 362
'\\d+'	12,23,93,96,126,153,251,252,262,267,268,308,322,389,394,407,412,421,467,487,505,534,560,639,642,743,747,759,766,782,826,833,852,922,961,971,999,1007,1009,1087,1097,1104,1113,1152,1199,1203,1216,1221,1223,1247,1248,1257,1271,1295,1300,1302,1317,1386,1415,1420,1461,1466,1469,1495,1501,1511,1536,1555,1580,1616,1640
'\\W'	82,89,153,173,225,287,306,322,391,418,433,467,505,510,534,552,560,602,606,740,757,774,858,872,909,927,1003,1004,1007,1010,1012,1014,1051,1064,1074,1075,1086,1087,1121,1127,1158,1183,1202,1223,1247,1320,1328,1355,1380,1420,1466,1470,1495,1506,1509,1510,1512,1526,1580
'[^\\w\\s-]'	13,21,82,89,190,236,247,302,323,355,422,552,606,849,866,878,919,1004,1007,1012,1021,1074,1075,1086,1158,1184,1223,1285,1395,1420,1468,1495,1517,1580,1614,1634
'(\\d+)'	113,122,236,302,303,323,355,422,557,578,636,714,732,782,866,1004,1007,1125,1184,1199,1258,1302,1317,1395,1412,1415,1469,1495,1501,1517,1529,1580,1634
'\\w+'	283,356,374,407,560,682,689,757,782,784,842,1004,1007,1015,1027,1032,1038,1087,1097,1110,1148,1247,1248,1315,1317,1374,1469,1488,1495,1501,1517,1580
'.*?\\n'	12,113,147,181,251,287,412,498,538,602,642,747,759,776,852,961,971,975,1000,1054,1087,1203,1221,1267,1288,1495,1509,1511,1555,1580,1621
'.*'	257,302,322,340,467,505,534,542,662,849,873,878,965,1004,1012,1086,1158,1243,1248,1319,1466,1488,1495,1557,1580,1592
'\\W+'	86,88,126,360,407,428,551,583,602,677,728,842,862,877,881,888,928,969,1190,1247,1248,1298,1416,1426,1469,1615
'[\\s,]'	12,232,287,306,322,412,467,505,534,602,759,852,896,961,1007,1054,1087,1221,1466,1469,1509,1511
'[0-9]+'	108,152,160,182,302,332,345,383,560,689,849,878,908,1012,1076,1086,1158,1243,1331,1386,1495,1544
'(\\w*)'	412,587,618,759,793,818,852,896,961,1015,1032,1080,1172,1221,1266,1296,1428,1464,1493,1511,1580
'[^a-zA-Z0-9]'	302,322,323,341,355,422,467,505,534,757,826,866,913,1004,1087,1158,1248,1328,1466,1495,1517
"(^|\\W)`(.*?)'(\\W|$)"	412,533,587,618,759,793,818,852,896,961,1007,1015,1032,1080,1172,1221,1266,1296,1428,1493,1511
'(\\w+(\\.\\w+)*)\\.(\\w*)'	12,101,287,412,602,640,642,662,759,776,852,961,971,1054,1087,1115,1203,1221,1509,1511,1580
'\\D'	40,174,385,483,640,712,728,827,960,1007,1015,1032,1069,1122,1149,1199,1300,1302,1416,1583
'(\\(|\\)|\\s+)'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1634
'\\Z(?ms)'	251,322,381,422,467,505,534,662,737,743,800,1033,1054,1087,1216,1466,1517,1569
'([.\\w-]+)\\s*(.*)$'	251,422,662,800,1033,1104,1188,1257,1263,1290,1386,1415,1517,1536,1580,1594,1634
'([A-Z])'	302,430,654,672,849,878,913,1012,1084,1086,1115,1158,1223,1420,1426,1469
'[^a-zA-Z0-9_]'	317,428,466,534,768,825,917,1007,1047,1050,1060,1268,1277,1466,1580,1602
'\\?|[-+]?[.\\w]+$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'\\s*((\\w|[-.])+)'	287,487,498,602,662,1033,1087,1257,1263,1415,1469,1509,1536,1580,1594,1634
'([A-Za-z])+'	305,459,619,927,1263,1292,1399,1431,1439,1469,1505,1535,1580,1594
'[A-Z]'	6,332,642,689,776,886,911,971,1025,1203,1281,1322,1407
'[^0-9]'	21,312,492,525,531,627,826,832,846,971,1364,1386,1546
'(\\w+)'	12,412,560,759,852,954,961,1087,1221,1317,1501,1511,1580
'([0-9]+)'	560,861,908,1007,1015,1025,1032,1299,1308,1317,1326,1501,1644
'^(\\s*)(\\w*)'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'[^-a-zA-Z0-9!*+/ ]'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'^(.*\\s+)?(.*?)(\\(.*)?'	283,332,339,356,518,538,670,689,787,832,1000,1288
'\\w'	182,305,550,648,782,1025,1082,1322,1326,1426,1505
'[^A-Za-z0-9_]'	308,322,389,467,498,505,534,619,743,1216,1466
'[a-z]'	394,602,642,776,1000,1054,1203,1299,1302,1340
'[^A-Z0-9_]'	294,308,322,389,467,505,534,743,1216,1466
'[^a-zA-Z0-9]+'	803,849,878,1012,1086,1158,1170,1495,1580,1634
'(.)'	12,412,757,759,852,961,1087,1221,1511
