Cluster i: 0
total projects:143
total patterns:86
'(.)'	12,412,757,759,852,961,1087,1221,1511
'\\\\.|.'	302,849,878,1012,1086,1158,1495,1580,1634
'([\\x00-\\x7F])+'	305,619,927,1292,1399,1431,1439,1469,1505
'.+'	220,454,666,707,927,1003,1247,1580
'x*'	12,412,759,852,961,1087,1221,1511
'b*'	12,412,759,852,961,1087,1221,1511
'a*'	12,412,759,852,961,1087,1221,1511
':*'	12,412,759,852,961,1087,1221,1511
'0*$'	12,287,602,1054,1068,1087,1509,1580
'(:*)'	12,412,759,852,961,1087,1221,1511
'(:)*'	12,412,759,852,961,1087,1221,1511
'\\w*'	119,813,927,1003,1007,1015,1032,1580
'/*(.*)'	308,322,467,505,534,743,1216,1466
'[0-9]*'	119,813,861,927,1003,1007,1015,1032
'[ \\t]*'	55,412,759,852,908,961,1221,1511
'\\S+| +|\\n'	46,147,162,181,251,619,1087,1267
'(\\W*)(\\w*)'	533,896,1007,1015,1032,1172,1428,1493
'([\x00-\x7f])+'	459,927,1263,1292,1469,1535,1580,1594
'\\s*(#|$)'	560,562,594,737,1087,1115,1248
'(\\.0+)*$'	305,412,759,852,961,1221,1511
'[^]~%\\\\{}]+'	12,412,759,852,961,1221,1511
'(\\s*#)|(\\s*$)'	420,543,596,993,1223,1420,1499
'[^\\\\][^\\\\]*'	12,412,759,852,961,1221,1511
'^([^@]*@)?([^:]*)(:.*)?'	147,181,278,296,432,819,1366
'^([A-Za-z]:)?[/\\\\\\\\]*'	322,467,505,534,712,1216,1466
'[^.]*'	225,287,510,602,774,1509
'\\.?[^.]*'	225,287,510,602,774,1509
'\\s*$'	441,628,1204,1248,1249
'(;?)$'	305,1025,1322,1326,1505
'[^\\)]+'	322,467,505,534,1466
'(}?\\s*)$'	322,467,505,534,1466
'^(\\s*)(.*)'	422,602,747,1517,1580
'^([\\w\\-:]*)'	143,188,213,1094,1583
'^[\r\n]*(\\s*)'	143,188,213,1094,1583
'(\\d*\\.?\\d*)\\s*(\\S*)'	162,251,619,1087,1267
'(></)|("")|(\\n\\s+)\\n|(.|\\s)'	143,188,213,1094,1583
'(x*)'	287,602,1509,1580
'(\\s*)$'	422,602,747,1094
'([^/]+)'	433,927,1003,1202
'^[^(\\[]*'	356,538,1247,1288
'[0-9-]*(.+)$'	147,162,181,1087
'^\\t*'	52,188,597
'[\\W]*'	1007,1015,1032
'^([ ]*)'	819,1317,1501
'(#.*)?$'	1007,1015,1032
'([^.]*).*'	241,874,1249
'(\\.cpp)?$'	1007,1015,1032
'\\s*=?\\s*'	1248,1263,1488
u'.{1,2047}'	1263,1580,1594
'(([^:]+::)*)'	1007,1015,1032
'\\s*(\\#.*)?$'	1007,1015,1032
'^([ \\|0-9-]*)'	1007,1015,1032
'(\\.c|\\.cpp)?$'	1007,1015,1032
'([a-zA-Z0-9]*)$'	515,1245,1373
'[+-]?(\\d*)(.*)'	247,919,1007
'[\\+-]?[0-9\\.]*'	813,927,1003
'([^\\(]*)(\\(.*\\))?'	241,874,1249
'ustar *\x00|[ \x00]*$'	1269,1469,1498
'^([^<]+)[<]?(.*)[>]?$'	241,874,1249
'^(\\s*)(\\S*\\s*)(.*$)'	422,602,747
'([^\\(]*)(\\((.*)%(.*)\\))?'	241,874,1249
'([^;?#]*)(;[^?#]*)?(\\?[^#]*)?(#.*)?'	107,1225,1638
'^'	1317,1501
'\\S*'	1317,1501
'(.*)'	1015,1032
'[^V_]'	1248,1488
'^[^:]+'	1269,1498
'[0-9]*$'	779,1407
'^(\\w*)'	109,182
'[^\'"]*'	757,1087
'[ -~]*$'	332,689
'[^ \\t]'	52,188
'([^\\(]+)'	113,1469
'(\\d*)(:?)'	1223,1420
'(\\d+|\\D+)'	224,1469
u'\\s*,?\\s*'	689,737
'(\\.[\\d]+)?$'	296,819
'([^,;]+[,;]?)'	1007,1301
'^[\\n\\r]{0,1}'	1050,1350
'[\\n\\r]{0,1}$'	1050,1350
'^[\\s\t\n]*([^\n]*)'	640,659
'([\\w]*)([^:=]*:?=?)([sif]?)'	602,747
'\\s*:?\\s*([\\w\\.]+\\s*,?\\s*)*'	757,1087
'([^\\?\\!]*\\?)?([^\\?\\!]*\\!)?(.*)'	86,88
'^(([^:/?#]+):)?(//([^/?#]*):([^/?#]*))?'	1269,1498
'[^\r\n\t ]?([^\r\n\t ]| [^\r\n\t ])*[^\r\n\t ]?$'	332,689




Cluster i: 1
total projects:97
total patterns:39
'\\w+(\\.\\w+)*'	662,1033,1087,1257,1415,1536,1580,1594,1634
'([a-zA-Z0-9_$%]+)'	306,322,464,467,505,534,1007,1404,1466
'\\s*([a-zA-Z_][-.:a-zA-Z_0-9]*)(\\s*=\\s*(\\\'[^\\\']*\\\'|"[^"]*"|[-a-zA-Z0-9./:;+*%?!&$\\(\\)_#=~]*))?'	43,330,412,759,852,961,1221,1511
'[a-zA-Z]'	284,560,721,886,1139,1317,1501
'[-a-zA-Z_@.]+'	322,467,505,534,712,1216,1466
'^[\\w\\-:\\$]+'	305,407,1025,1322,1326,1505
'[a-zA-Z][-a-zA-Z0-9_:]*'	412,759,852,961,1221,1511
'(\\w+)(.*)'	162,251,619,1087,1267
'[a-zA-Z_]\\w*'	640,945,1025,1495,1505
u'[a-zA-Z_][a-zA-Z0-9_]*'	55,96,252,1247,1248
'[a-zA-Z_$][A-Za-z0-9_$..]*'	322,467,505,534,1466
'[a-zA-Z_]([a-zA-Z0-9_.]*) *$'	422,602,747,1517,1580
'[a-z]+'	315,1247,1253,1288
'([A-Z]+)'	886,911,1339,1418
'((\\d|\\w|_)+)'	523,946,1116,1484
'([\\d\\w\\-_]+)(.*)'	523,946,1116,1484
'(..)'	12,1087,1580
'[A-Z]+'	391,872,1557
u'[a-zA-Z]+'	1094,1246,1540
'[a-zA-Z_][a-zA-Z_0-9]*'	53,1246,1540
"[-A-Za-z0-9!\\#$%&'*+/=?^_`{|}~]"	557,1223,1420
'[a-zA-Z_][0-9a-zA-Z_+-]*|[0-9+-][0-9a-zA-Z_.+-]*|"([^"\n\\\\]|\\\\.)*("|\\\\?$)|\'([^\'\n\\\\]|\\\\.)*(\'|\\\\?$)'	1004,1495,1580
'..'	80,1501
'[a-z_]'	1116,1141
"[\\w']+"	440,542
'[\\w ]+'	1317,1501
'[A-Za-z]'	1317,1501
'^.(.*).$'	305,1505
'(\\w+\\W*)'	1007,1301
'[a-zA-Z0-9_-]+'	1211,1495
'([_A-Za-z]\\w*)'	1007,1301
'({[^}]+})?(\\w+)'	492,1364
'([$\\\\%&@]+)?(\\w+)'	305,1505
'[a-zA-Z][a-zA-Z0-9]*'	413,1076
'[A-Za-z_][A-Za-z0-9_]*'	189,955
